system:index,chirps_precip_mm,date,doy,month,year,.geo
20090107,0.0,2009-01-07 00:00:00,7,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090108,0.0,2009-01-08 00:00:00,8,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090109,0.0,2009-01-09 00:00:00,9,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090110,0.0,2009-01-10 00:00:00,10,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090111,5.614068405279437,2009-01-11 00:00:00,11,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090112,0.0,2009-01-12 00:00:00,12,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090113,0.2408191462762097,2009-01-13 00:00:00,13,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090114,0.0029982118477375,2009-01-14 00:00:00,14,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090115,0.0,2009-01-15 00:00:00,15,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090116,0.0,2009-01-16 00:00:00,16,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090117,0.0,2009-01-17 00:00:00,17,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090118,0.0,2009-01-18 00:00:00,18,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090119,0.1575648929659675,2009-01-19 00:00:00,19,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090120,0.0,2009-01-20 00:00:00,20,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090121,0.0,2009-01-21 00:00:00,21,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090122,0.0,2009-01-22 00:00:00,22,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090123,0.0,2009-01-23 00:00:00,23,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090124,0.0,2009-01-24 00:00:00,24,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090125,0.0,2009-01-25 00:00:00,25,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090126,0.0,2009-01-26 00:00:00,26,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090127,0.0,2009-01-27 00:00:00,27,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090128,0.3061743501576195,2009-01-28 00:00:00,28,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090129,0.0,2009-01-29 00:00:00,29,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090130,0.0,2009-01-30 00:00:00,30,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090131,0.0,2009-01-31 00:00:00,31,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090201,0.8085412702358211,2009-02-01 00:00:00,32,2,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090202,0.0,2009-02-02 00:00:00,33,2,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090203,0.0,2009-02-03 00:00:00,34,2,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090204,0.0,2009-02-04 00:00:00,35,2,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090205,0.0022430940776342,2009-02-05 00:00:00,36,2,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090206,0.0,2009-02-06 00:00:00,37,2,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090207,0.0,2009-02-07 00:00:00,38,2,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090208,0.3345196408974228,2009-02-08 00:00:00,39,2,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090209,0.0,2009-02-09 00:00:00,40,2,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090210,0.0,2009-02-10 00:00:00,41,2,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090211,0.0,2009-02-11 00:00:00,42,2,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090212,0.0,2009-02-12 00:00:00,43,2,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090213,0.0,2009-02-13 00:00:00,44,2,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090214,0.0,2009-02-14 00:00:00,45,2,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090215,0.0,2009-02-15 00:00:00,46,2,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090216,2.7500998563290566,2009-02-16 00:00:00,47,2,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090217,0.0,2009-02-17 00:00:00,48,2,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090218,0.0,2009-02-18 00:00:00,49,2,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090219,0.0,2009-02-19 00:00:00,50,2,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090220,0.0,2009-02-20 00:00:00,51,2,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090221,0.0,2009-02-21 00:00:00,52,2,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090222,0.0,2009-02-22 00:00:00,53,2,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090223,0.3352298644656772,2009-02-23 00:00:00,54,2,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090224,3.148714104513715,2009-02-24 00:00:00,55,2,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090225,0.7238050325699653,2009-02-25 00:00:00,56,2,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090226,0.0,2009-02-26 00:00:00,57,2,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090227,0.0,2009-02-27 00:00:00,58,2,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090228,0.0,2009-02-28 00:00:00,59,2,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090301,0.0,2009-03-01 00:00:00,60,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090302,4.863515751600317,2009-03-02 00:00:00,61,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090303,0.0,2009-03-03 00:00:00,62,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090304,0.0,2009-03-04 00:00:00,63,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090305,0.0,2009-03-05 00:00:00,64,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090306,0.0,2009-03-06 00:00:00,65,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090307,0.0,2009-03-07 00:00:00,66,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090308,0.0,2009-03-08 00:00:00,67,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090309,0.0,2009-03-09 00:00:00,68,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090310,4.133399976859846,2009-03-10 00:00:00,69,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090311,0.0,2009-03-11 00:00:00,70,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090312,0.0,2009-03-12 00:00:00,71,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090313,0.0,2009-03-13 00:00:00,72,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090314,2.641632623451888,2009-03-14 00:00:00,73,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090315,0.0,2009-03-15 00:00:00,74,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090316,0.0,2009-03-16 00:00:00,75,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090317,0.0,2009-03-17 00:00:00,76,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090318,0.0,2009-03-18 00:00:00,77,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090319,0.0,2009-03-19 00:00:00,78,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090320,1.174071439508964,2009-03-20 00:00:00,79,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090321,0.0,2009-03-21 00:00:00,80,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090322,0.0276330199071083,2009-03-22 00:00:00,81,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090323,0.0,2009-03-23 00:00:00,82,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090324,0.0,2009-03-24 00:00:00,83,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090325,0.0,2009-03-25 00:00:00,84,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090326,0.0,2009-03-26 00:00:00,85,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090327,0.0,2009-03-27 00:00:00,86,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090328,0.0,2009-03-28 00:00:00,87,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090329,0.0,2009-03-29 00:00:00,88,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090330,0.0,2009-03-30 00:00:00,89,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090331,1.0862837142110968,2009-03-31 00:00:00,90,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090401,0.3192020530081786,2009-04-01 00:00:00,91,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090402,0.0,2009-04-02 00:00:00,92,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090403,0.0,2009-04-03 00:00:00,93,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090404,0.0,2009-04-04 00:00:00,94,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090405,0.0,2009-04-05 00:00:00,95,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090406,0.0,2009-04-06 00:00:00,96,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090407,0.0,2009-04-07 00:00:00,97,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090408,0.0,2009-04-08 00:00:00,98,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090409,0.0,2009-04-09 00:00:00,99,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090410,0.0,2009-04-10 00:00:00,100,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090411,0.0,2009-04-11 00:00:00,101,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090412,0.0,2009-04-12 00:00:00,102,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090413,0.0,2009-04-13 00:00:00,103,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090414,0.0,2009-04-14 00:00:00,104,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090415,0.0,2009-04-15 00:00:00,105,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090416,0.0,2009-04-16 00:00:00,106,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090417,0.0,2009-04-17 00:00:00,107,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090418,0.0,2009-04-18 00:00:00,108,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090419,0.0,2009-04-19 00:00:00,109,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090420,0.0,2009-04-20 00:00:00,110,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090421,0.0,2009-04-21 00:00:00,111,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090422,0.0,2009-04-22 00:00:00,112,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090423,0.0,2009-04-23 00:00:00,113,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090424,7.990953465298532,2009-04-24 00:00:00,114,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090425,9.251055063132071,2009-04-25 00:00:00,115,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090426,3.559213002863214,2009-04-26 00:00:00,116,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090427,0.0,2009-04-27 00:00:00,117,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090428,7.5336587126236125,2009-04-28 00:00:00,118,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090429,0.0,2009-04-29 00:00:00,119,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090430,17.562757327026052,2009-04-30 00:00:00,120,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090501,4.5949374488141,2009-05-01 00:00:00,121,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090502,1.6341844577813818,2009-05-02 00:00:00,122,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090503,2.037743758838676,2009-05-03 00:00:00,123,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090504,0.8189547512816729,2009-05-04 00:00:00,124,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090505,23.59995956853923,2009-05-05 00:00:00,125,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090506,12.17563030637544,2009-05-06 00:00:00,126,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090507,8.068109112700961,2009-05-07 00:00:00,127,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090508,13.888202597584812,2009-05-08 00:00:00,128,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090509,6.101463637941269,2009-05-09 00:00:00,129,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090510,13.416453297170383,2009-05-10 00:00:00,130,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090511,0.0,2009-05-11 00:00:00,131,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090512,7.976016413912729,2009-05-12 00:00:00,132,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090513,14.205594403403143,2009-05-13 00:00:00,133,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090514,27.81264889819844,2009-05-14 00:00:00,134,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090515,24.09545184948583,2009-05-15 00:00:00,135,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090516,6.661757856856374,2009-05-16 00:00:00,136,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090517,2.74258331079048,2009-05-17 00:00:00,137,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090518,6.752886793296326,2009-05-18 00:00:00,138,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090519,12.882927324920477,2009-05-19 00:00:00,139,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090520,9.915660107613222,2009-05-20 00:00:00,140,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090521,6.301267064953034,2009-05-21 00:00:00,141,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090522,4.529012227114581,2009-05-22 00:00:00,142,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090523,11.46436946850105,2009-05-23 00:00:00,143,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090524,8.54159996600957,2009-05-24 00:00:00,144,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090525,11.291768343960817,2009-05-25 00:00:00,145,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090526,3.433654269637989,2009-05-26 00:00:00,146,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090527,4.524248648517059,2009-05-27 00:00:00,147,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090528,6.283043254593706,2009-05-28 00:00:00,148,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090529,4.524248648517059,2009-05-29 00:00:00,149,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090530,2.3121382894238205,2009-05-30 00:00:00,150,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090531,2.2621243242585294,2009-05-31 00:00:00,151,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090601,13.654378026372797,2009-06-01 00:00:00,152,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090602,18.567528853352105,2009-06-02 00:00:00,153,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090603,9.763449390993102,2009-06-03 00:00:00,154,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090604,15.774254759569752,2009-06-04 00:00:00,155,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090605,1.290127150020244,2009-06-05 00:00:00,156,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090606,7.632157421234615,2009-06-06 00:00:00,157,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090607,0.0,2009-06-07 00:00:00,158,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090608,17.02822768711181,2009-06-08 00:00:00,159,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090609,1.2906359925620383,2009-06-09 00:00:00,160,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090610,0.0,2009-06-10 00:00:00,161,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090611,0.0076908104219026,2009-06-11 00:00:00,162,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090612,0.0,2009-06-12 00:00:00,163,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090613,0.0,2009-06-13 00:00:00,164,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090614,0.3977795957523231,2009-06-14 00:00:00,165,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090615,14.43083272457225,2009-06-15 00:00:00,166,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090616,18.786055165762875,2009-06-16 00:00:00,167,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090617,11.662898492088,2009-06-17 00:00:00,168,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090618,13.101553173641191,2009-06-18 00:00:00,169,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090619,0.4868034793570251,2009-06-19 00:00:00,170,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090620,19.210781455269768,2009-06-20 00:00:00,171,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090621,18.332794485216755,2009-06-21 00:00:00,172,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090622,15.799951612783412,2009-06-22 00:00:00,173,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090623,13.960572497342737,2009-06-23 00:00:00,174,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090624,8.76785989725812,2009-06-24 00:00:00,175,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090625,6.8162558278426735,2009-06-25 00:00:00,176,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090626,4.418726957234971,2009-06-26 00:00:00,177,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090627,10.273309941311217,2009-06-27 00:00:00,178,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090628,8.538711813487339,2009-06-28 00:00:00,179,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090629,19.32382598202089,2009-06-29 00:00:00,180,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090630,9.612642852467014,2009-06-30 00:00:00,181,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090701,29.891864304574195,2009-07-01 00:00:00,182,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090702,8.939575779997172,2009-07-02 00:00:00,183,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090703,8.97826676114414,2009-07-03 00:00:00,184,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090704,0.0,2009-07-04 00:00:00,185,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090705,0.0,2009-07-05 00:00:00,186,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090706,2.8166119846038424,2009-07-06 00:00:00,187,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090707,4.606334931948987,2009-07-07 00:00:00,188,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090708,14.14622745812131,2009-07-08 00:00:00,189,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090709,4.912302399120793,2009-07-09 00:00:00,190,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090710,0.0,2009-07-10 00:00:00,191,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090711,0.0,2009-07-11 00:00:00,192,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090712,9.85631489835426,2009-07-12 00:00:00,193,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090713,11.766936219154733,2009-07-13 00:00:00,194,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090714,0.0,2009-07-14 00:00:00,195,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090715,0.0,2009-07-15 00:00:00,196,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090716,0.0,2009-07-16 00:00:00,197,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090717,0.0,2009-07-17 00:00:00,198,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090718,0.0,2009-07-18 00:00:00,199,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090719,0.0,2009-07-19 00:00:00,200,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090720,2.4184016002835595,2009-07-20 00:00:00,201,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090721,3.8642989569390505,2009-07-21 00:00:00,202,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090722,5.282500254569153,2009-07-22 00:00:00,203,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090723,0.324191230245718,2009-07-23 00:00:00,204,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090724,0.2382381438800471,2009-07-24 00:00:00,205,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090725,5.021405015775085,2009-07-25 00:00:00,206,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090726,11.6210837570496,2009-07-26 00:00:00,207,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090727,1.7115821336418178,2009-07-27 00:00:00,208,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090728,0.0,2009-07-28 00:00:00,209,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090729,1.512358110705237,2009-07-29 00:00:00,210,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090730,11.33951948337061,2009-07-30 00:00:00,211,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090731,1.8418559840160047,2009-07-31 00:00:00,212,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090801,6.296565724940903,2009-08-01 00:00:00,213,8,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20090802,11.42169173214721,2009-08-02 00:00:00,214,8,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
